stage,iteration,negative_elbo,grad_norm,kl_beta,loglik,nu,omega,u,sigma,alpha_mean,phi_mean,jitter
residual,63,5461229.126968514,135774921.51214635,0.6,-5459016.5598454485,4.71147201961275,0.7999928707903293,0.37332055472818493,0.4331357369122032,0.12954633120397746,0.32184929650082467,1e-08
residual,64,1226685.8851085687,27265807.621635113,0.6095238095238096,-1224437.9818950184,4.749312472176438,0.9682391282189898,0.07946732817116131,0.3828908802081146,-0.014891405679719291,0.2982574929936857,1e-08
residual,65,12464.803822981447,137290.07606270173,0.6190476190476191,-10182.184534125627,4.05665281737094,1.087983250332201,-0.20283289366688673,0.4003405769472072,0.0037332372992890613,0.22588787752348238,1e-08
residual,66,2709673.228781307,65906337.56591194,0.6285714285714286,-2707359.442166644,7.463448628575083,1.0862923590746065,-0.7471286537821676,0.5290413577029524,-0.1617658816674078,0.3155970391529855,1e-08
residual,67,3222328.7183031784,78199599.730728,0.638095238095238,-3219976.045216381,4.152688366128552,0.7818149712306187,-0.4218287335215369,0.4379384192790969,0.11457981380477933,0.31544638007417597,1e-08
residual,68,24680342.019997455,640013919.9584935,0.6476190476190476,-24677954.38191126,3.1322184597094367,1.1863881893979358,0.037663344853604674,0.4423562263137788,-0.41324164375294625,0.3375904487655257,1e-08
residual,69,15874.909811534302,186141.8078978715,0.6571428571428571,-13452.376331208114,4.949700965581698,1.0208414522239937,-0.35274668206711335,0.4036075498763333,0.13640569909350725,0.2309966900242181,1e-08
residual,70,9763505.84555329,248601167.22445723,0.6666666666666666,-9761048.002081849,4.763434880796891,1.0198697759171969,-0.35758846547124007,0.45459094758391766,0.09123135407066554,0.3265117747190766,1e-08
residual,71,9367.141347140341,92500.70830871424,0.6761904761904762,-6874.957813070717,3.3984356881347164,0.9040171626310667,0.3454214911148271,0.4759767067124771,-0.09670589258500288,0.22596639770880597,1e-08
residual,72,7754.291439664895,65090.683161152156,0.6857142857142857,-5227.9119419665685,4.651425795615122,1.0877440273906431,-0.3342072792963598,0.4524144456972257,-0.46617498361320786,0.21763419208212695,1e-08
residual,73,7674.563472491289,62172.364252018524,0.6952380952380952,-5115.362229825402,4.190838927422355,1.1860405021431284,-0.1930881745532087,0.43207165733130043,0.09754323629105419,0.21470292774201316,1e-08
residual,74,843687.7582811989,19099077.75943191,0.7047619047619048,-841091.2506646849,3.618119342478608,0.808531947669629,-0.7165992342480283,0.4436579312147458,0.053110234057842265,0.29879256186925046,1e-08
residual,75,106610.04605713744,1952996.295535131,0.7142857142857143,-103977.04931500724,3.757718211125604,0.9323895763489353,0.076468070463928,0.4925962352105841,-0.05426571685583059,0.26818158759953253,1e-08
residual,76,21096.864444157436,292558.8188657832,0.7238095238095238,-18430.561562242434,4.683213129599745,0.7399230634777524,0.15077748686442005,0.4601215193066176,-0.2442202321104602,0.2469611160931381,1e-08
residual,77,5971.55341286106,36388.23939848306,0.7333333333333333,-3271.3703881235447,4.825027933260063,1.1338215247467178,0.45673248647833653,0.4180790742979876,-0.4671884362066531,0.20474312386671825,1e-08
residual,78,29595.130321947276,412862.838425137,0.7428571428571429,-26857.997826946303,3.68788125060241,1.1931415573233841,-0.6690736364401058,0.4334459939163132,0.050743763598612254,0.24314218473681615,1e-08
residual,79,41826077.66695341,1053149940.4719193,0.7523809523809524,-41823306.984947704,4.063888051896133,0.8870268303140916,0.07242790317502334,0.5026086762460308,-0.2887339528803998,0.3529394231591939,1e-08
residual,80,516446.7071101954,10837495.970951593,0.7619047619047619,-513639.8111914719,3.322232544100835,0.9859553449548522,0.005726588302440994,0.4605369792372577,-0.34074868702395045,0.288413676776799,1e-08
residual,81,488254.33890581277,10284733.35543325,0.7714285714285715,-485413.1362501753,5.229161892670936,1.0337586692563097,-0.6961566901527326,0.44176681095393017,0.06139858344929693,0.28761950741933556,1e-08
residual,82,447119871.15015143,6037337875.758418,0.780952380952381,-447116996.07655096,4.499060876730258,0.9847159621279076,0.15154437629963702,0.46853528357096846,-0.004642180056211038,0.39323690976859166,1e-08
residual,83,32462.60086351192,478640.159613456,0.7904761904761904,-29552.90404988518,5.040010772390328,1.040477162035476,-0.22750050682727185,0.4824299425987246,0.09538989859286075,0.2504898173601221,1e-08
residual,84,4795381.391238301,117819895.22698568,0.8,-4792438.408506945,3.0899988006448336,1.2140164105926656,0.8565092515969243,0.45109721489870613,-0.3114102666882884,0.317690959397075,1e-08
residual,85,40664232.06602245,1041576062.3290762,0.8095238095238095,-40661251.78551712,3.827283056679277,0.9423549228580836,-0.5473550290640525,0.4625897987958208,-0.5147366956310723,0.3470550171343331,1e-08
residual,86,122913.5926025034,2207209.169666544,0.819047619047619,-119899.67424105629,5.955495246393707,1.1262535703550385,0.9920816833792373,0.43802807879800565,-0.13374924703882782,0.26874184199537565,1e-08
residual,87,8966372.903101817,225273205.05620584,0.8285714285714286,-8963321.728992205,4.232045638141951,1.1664927876223385,-0.45292005599851415,0.4169238705293326,0.15657602338171378,0.3236762619554885,1e-08
residual,88,219389.9915989226,4326211.000214066,0.8380952380952381,-216302.43312546876,3.9984506160988116,0.8562684552859483,0.3889006984407447,0.44098883323894394,-0.007211225724737481,0.2786455657464084,1e-08
residual,89,76575.75334003028,1283047.1295324625,0.8476190476190476,-73453.46726027827,3.574517232984653,1.0164490357936904,0.2551357361401513,0.42157278322152364,-0.18360190912652877,0.2586872509740134,1e-08
residual,90,69303.97123791261,1196912.5814617088,0.8571428571428571,-66146.88687001295,3.9766352592165637,0.8923202029294355,0.13121665672983907,0.4700857012374501,-0.2926615261865918,0.26461487916214843,1e-08
residual,91,7322028.908942441,186593826.7192864,0.8666666666666667,-7318838.25660587,3.002510883143228,0.9798944793996311,-0.44977431400160717,0.46323574289739994,0.07312614090490638,0.3268811753170422,1e-08
residual,92,616149.8593668886,13216259.33624404,0.8761904761904762,-612921.9146789431,3.4423471838651265,0.9295998804146858,0.16701003273838289,0.4178656075275648,-0.027142272815614557,0.2918311871224411,1e-08
residual,93,74001.14312250048,1224783.2535627338,0.8857142857142857,-70739.39174467146,3.169687525012887,1.213919010697546,-0.3119859905126189,0.45458546129917005,0.11252351383273441,0.25984669298342805,1e-08
residual,94,114412.92619603984,2048796.3400051182,0.8952380952380953,-111117.72191519628,5.706632255590481,1.1104676449198148,-0.5488351428356374,0.5088321985810025,-0.012994843810313461,0.26991690729670204,1e-08
residual,95,4415221.568767127,109280596.90994778,0.9047619047619048,-4411890.3481441215,2.8067668666291885,1.0375928127489762,-0.31151351700110635,0.4776251726948771,0.054671404928177396,0.31932970843484976,1e-08
residual,96,1009258.3310553916,23048031.626703985,0.9142857142857143,-1005890.2945554963,3.733083599485661,0.8627043661843444,-0.7501613559777482,0.45409809134385654,-0.1682392407472018,0.3027653920745768,1e-08
residual,97,803094.0319421467,17120497.52406519,0.9238095238095239,-799695.2983362081,2.724818906901903,1.249899707946875,-0.7246512302600566,0.4290124109500928,0.16215288048285764,0.29082184249589604,1e-08
residual,98,5152045.498651044,128054659.9008632,0.9333333333333333,-5148609.697114448,4.584149058234821,0.871132513690743,2.1215553116410493,0.44848778535698003,0.049170990747885744,0.32152811985825897,1e-08
residual,99,411684.0305246818,8855335.179482419,0.9428571428571428,-408214.2211363955,5.2761435794980756,0.9048411196366198,0.16999873030488966,0.5326851961781865,-0.07772726692891145,0.2915280099389941,1e-08
residual,100,11572.098618447115,106977.17824688833,0.9523809523809523,-8066.353080019727,5.237174978248984,1.1263389338890202,0.08852266215156213,0.4713526647205052,0.15219710259501085,0.2247502073550028,1e-08
residual,101,359523.2952755448,7308582.89926516,0.9619047619047619,-355980.65193648555,4.302056730857263,0.9957976424196936,-0.46200979131472847,0.4162239723490392,0.14629284901699263,0.28220627911379254,1e-08
residual,102,9770.934730063054,74971.68065837584,0.9714285714285714,-6197.222234280772,4.168718803315574,1.2183428825835836,0.27066365999635467,0.4090417912083656,-0.38802661869723776,0.21364064859839665,1e-08
residual,103,50219.16100131671,758955.7517168133,0.9809523809523809,-46607.64587574105,4.651684367288405,1.2070770165211127,0.12228683474356039,0.42142658957279466,-0.12611286067433955,0.2503340895331946,1e-08
residual,104,1066104.3837678412,23218040.9900522,0.9904761904761905,-1062460.9710517514,2.6039483358951907,1.4941892438351188,0.2688507606512657,0.4417154227116606,-0.45756306034037575,0.2942665833207027,1e-08
residual,105,6629.90120062144,34298.05854407869,1.0,-2949.726567999423,2.4582662048298114,0.8144752556183017,-0.3147402294630388,0.4483227478686493,-0.26562485580121536,0.21130092618859686,1e-08
residual,106,1871620.423082389,42902270.86275582,1.0,-1867938.9238222814,4.000523398875886,1.031918511708533,-0.4190653214400017,0.4191515407167012,-0.2609797250610976,0.30396542438955076,1e-08
residual,107,139802531.8679797,3152498909.3720565,1.0,-139798852.7933311,3.784333462205561,0.9734424316292587,-0.22976652286894483,0.4187908101173742,-0.39370480984806816,0.3650531270623605,1e-08
residual,108,36433.39108696804,519492.92035493284,1.0,-32750.834669684955,2.838147033999946,1.108590778619565,0.8736013448724768,0.43745765879212534,-0.1758395182044565,0.24906463493368308,1e-08
residual,109,10187.442569986822,85890.42092702341,1.0,-6506.803581618681,4.329654992370912,0.9475491981685167,0.32014353901092807,0.48244655006091036,-0.3707260116519986,0.22595666868452685,1e-08
residual,110,77238.7132293953,1295593.610090425,1.0,-73560.05517457298,5.652637264182728,1.0348659388569712,-0.6061639167194588,0.43527369382605957,-0.46943742142889466,0.2613265445363949,1e-08
residual,111,33019791.420994267,858921228.8412578,1.0,-33016111.514725354,5.327425891736603,1.1554488081639047,-0.30681090349386975,0.4433219119194079,-0.19664198282771045,0.3417424886121855,1e-08
residual,112,960992.7876259596,21484313.526040085,1.0,-957310.6291212684,4.2115348009654365,0.9449692446100929,0.08035860390054284,0.44493328157532097,-0.09918814883621259,0.3008581043720016,1e-08
residual,113,2920492.634411753,71072731.71073666,1.0,-2916813.7993579316,5.72283558161989,0.9532588107740992,-0.1407161870352044,0.49531014812604857,-0.01687666916315586,0.31674906492384686,1e-08
residual,114,11147.510614739354,100422.19349959574,1.0,-7467.720329572046,4.044806760935955,1.0682455886979043,-0.751219404882608,0.5117954532615893,0.0008918992404425823,0.22933304346657946,1e-08
residual,115,117738.69519562664,2143326.2637684867,1.0,-114056.91674625869,2.676006059955787,0.9262114379095403,-0.09640178547233846,0.45719787085898156,-0.14447855823432829,0.27026961838323255,1e-08
residual,116,277082.9052677409,5646727.724961727,1.0,-273403.1178946052,3.3136086058391863,0.6502333785184703,0.2621877928335886,0.4339335421812195,0.006238894168479054,0.28661522851780485,1e-08
residual,117,2960896.7699848497,71443216.52966142,1.0,-2957215.8851872464,3.2270791493053785,0.9168370903413064,-0.44540006077450345,0.441172103520503,-0.10122239730749573,0.31485298304319903,1e-08
residual,118,367833.3943616838,7318358.080851717,1.0,-364155.34746532753,6.191815710324825,1.2478645729834306,-0.23592156295449407,0.4268601243695435,-0.09078971636049539,0.28286547590019245,1e-08
residual,119,40767.49536071169,617985.4958308656,1.0,-37087.549466035256,2.5547382996023025,0.9614640041762721,-0.7206147199492218,0.46832556816016485,0.11877359231567529,0.25479942550256174,1e-08
residual,120,7667107.655783906,189101934.95144588,1.0,-7663435.6237580115,9.1649271971727,1.080057491421999,0.7056212816951218,0.3813978177230502,0.04164194067360117,0.3194857056488928,1e-08
residual,121,61419.87992251044,955667.7842624949,1.0,-57740.17629666087,3.3430827152637157,1.4085051350285995,0.14477380792454542,0.4427289873706552,-0.23453344621459477,0.25393368106690634,1e-08
residual,122,7726.946266823568,49285.41265089256,1.0,-4047.21523904823,4.1893761601940085,1.010511096436567,0.3220474762544513,0.48823974423155103,0.005656312276947335,0.21658855291564605,1e-08
residual,123,20642.32727970241,245331.50090371666,1.0,-16962.74615267683,5.294960010761352,1.0034556887186818,-0.7030762207408979,0.42226702849611725,-0.2453149890692224,0.23734122415518982,1e-08
residual,124,40216.568784349205,573048.5559029301,1.0,-36537.19749746189,3.042240593824453,1.0923509671602978,0.2867370926097851,0.4162824426857863,0.2428696555325502,0.24639996807306122,1e-08
residual,125,46552.92853262591,732743.4745902814,1.0,-42872.76314736883,3.636162112771214,0.9455153605047625,-0.7577459174163964,0.4974866122321376,0.04874451791082562,0.25925597191035216,1e-08
residual,126,2168426.1307999464,51438092.623260304,1.0,-2164749.177863384,4.412060070077251,0.9011666852291195,-0.19501039157454625,0.44471338645419567,0.09867022064197624,0.30952597881392235,1e-08
residual,127,58217.09064322924,966806.6648597803,1.0,-54537.572303415785,4.468989987471271,0.7581000752242794,-0.70984258763972,0.4404387968386219,-0.10206781129840897,0.26288369707263465,1e-08
residual,128,4648.185275286116,8732.14919535436,1.0,-971.6684792462521,3.680571584505829,0.6644797062738051,-0.2889305358600781,0.44992519910649914,-0.20847722332073593,0.19264120187178735,1e-08
residual,129,45678.27353605817,720630.7998769773,1.0,-41999.96787049936,4.339974404061793,0.862831609652349,-0.624596121643623,0.49307488831387825,-0.12309117752161895,0.25820649587354594,1e-08
residual,130,57889.97182173627,941464.6601934382,1.0,-54211.50044885544,3.0307252083260363,0.8609071833710913,0.5912835467030196,0.45508598986499826,0.022145495834083644,0.26054023111724284,1e-08
residual,131,3878998.3609855925,93063707.9317844,1.0,-3875322.105952747,3.600128143590542,1.3511356841832591,0.1347348726423272,0.45196152228869907,0.1515106235175251,0.3118096055992898,1e-08
residual,132,135902.44452904793,2481316.170942109,1.0,-132223.60744663855,3.424198522529438,1.0735389460328044,-0.4323789002420799,0.47604656505669063,0.10371383775428164,0.270520972071789,1e-08
residual,133,16030.12386816706,167559.97691779493,1.0,-12354.785218283818,3.1694319880098276,1.4487829146170776,0.6440207023858732,0.4674004566752265,0.2262867898069123,0.22943841320506517,1e-08
residual,134,49026.4841336261,781685.0912932878,1.0,-45348.65735440046,4.950711704920458,0.9456085801631277,-0.5152308625801019,0.4821389600507895,-0.22214912046729576,0.2587735690619751,1e-08
residual,135,1047132.5322541103,23798536.68972845,1.0,-1043456.0650772931,4.223994392663311,0.7458007517802335,-0.19925659292457276,0.4564864337261637,0.14366632894709885,0.3050041554882719,1e-08
residual,136,106264.43419149316,1909560.1045892814,1.0,-102585.18879631769,3.032847610398234,0.9149056150006784,-0.26948112831844084,0.4625542263140589,-0.018209415486102904,0.27034334484133443,1e-08
residual,137,166170.47130652575,3177070.337140049,1.0,-162492.5018317968,3.5211067959696827,1.0710859852244496,-0.5593461540519469,0.4861674196269639,0.15287778203078098,0.27568148576156376,1e-08
residual,138,40566.189567040885,588761.5367564844,1.0,-36888.8923763273,4.267902404433469,1.1661109560912877,-0.2417895804313891,0.4433587225932279,0.051464360723384395,0.2490100930019061,1e-08
residual,139,14089854.972289732,363011507.60440576,1.0,-14086178.557316933,2.576745027620992,0.7840173434148233,-0.15384790407610138,0.45414713820607533,-0.05091922668546338,0.3383155392094646,1e-08
