stage,iteration,negative_elbo,grad_norm,kl_beta,loglik,phi,sigma,jitter
joint,157,6740813.842489438,174554297.54271698,0.8722222222222222,-6738655.749230872,0.33499764966241385,0.5765903392114526,1e-08
joint,158,55826.24191402679,921599.4169791486,0.8777777777777778,-53654.2669267016,0.2646419075714207,0.5089978447298664,1e-08
joint,159,1232441.9380741217,28540732.09730087,0.8833333333333333,-1230254.4941416949,0.3082143362529408,0.4867415638315379,1e-08
joint,160,547856.938449093,11957534.095584806,0.8888888888888888,-545655.1823941594,0.29832444745245323,0.5055801405725449,1e-08
joint,161,37052781.389338695,909684873.1733519,0.8944444444444445,-37050567.213661,0.3594057795902302,0.5511354174644334,1e-08
joint,162,2982497.0359578677,74546375.4980328,0.9,-2980267.2791608865,0.3241178504002695,0.5546218844367,1e-08
joint,163,1737925.5112122993,41524977.505766526,0.9055555555555556,-1735681.1702118267,0.31329504470365743,0.4977759285627028,1e-08
joint,164,15470846.513308447,404731931.5651955,0.9111111111111111,-15468588.95693519,0.34243007856516605,0.4832928326769178,1e-08
joint,165,920366.6092953448,21569731.191640273,0.9166666666666666,-918093.9718961463,0.30720652054214853,0.5550543436147165,1e-08
joint,166,1945059.4267768518,48419070.16990969,0.9222222222222223,-1942772.3588200156,0.3173587909665226,0.5297928195111796,1e-08
joint,167,2837537.492996804,70135722.50578968,0.9277777777777778,-2835236.8006806727,0.3249381991509939,0.5669335725887923,1e-08
joint,168,12565145.061468743,330783569.97177285,0.9333333333333333,-12562830.22063453,0.3404321922425962,0.5346657757069009,1e-08
joint,169,10553668.055824686,279366045.466854,0.9388888888888889,-10551338.906093212,0.33655296158829456,0.49558861977192425,1e-08
joint,170,62241.50990599694,1074164.3890402748,0.9444444444444444,-59898.61200829936,0.2659817600792435,0.5136807810678072,1e-08
joint,171,326280.9665097256,6975191.282989105,0.95,-323922.7544850393,0.2908002402412906,0.5424015235740983,1e-08
joint,172,826153.0012819124,18981288.858894255,0.9555555555555556,-823780.475799932,0.3071302537363953,0.5503868647014465,1e-08
joint,173,86468806.8589032,1923352888.0643928,0.9611111111111111,-86466422.67412657,0.3706865549222682,0.5370638613789407,1e-08
joint,174,106301.13431331574,1941502.2875480799,0.9666666666666667,-103901.14585195747,0.2722493547054531,0.48310650359874313,1e-08
joint,175,3886568.89859454,99459221.07033111,0.9722222222222222,-3884153.6981070507,0.3254061536149027,0.538704983137073,1e-08
joint,176,3510129.2195773046,86758337.65459292,0.9777777777777777,-3507699.9308824367,0.3222097094680739,0.48678998557036013,1e-08
joint,177,403561.2556578692,8850486.002965821,0.9833333333333333,-401117.2380048068,0.2963706405681614,0.5495761104479805,1e-08
joint,178,1918063.8595076718,46879479.38830106,0.9888888888888889,-1915605.6312958866,0.3153683045558807,0.4968815339538437,1e-08
joint,179,1057161.056684988,24446292.729215663,0.9944444444444445,-1054688.806965038,0.3059457404854669,0.4775287915198905,1e-08
joint,180,120504.87878145635,2255247.4256170867,1.0,-118018.2256558327,0.2771465070644759,0.515005575581706,1e-08
joint,181,1434746.3658492782,34264325.23451251,1.0,-1432259.006013243,0.31524279323124027,0.5634366130846757,1e-08
joint,182,10327178.581706561,273359216.0461238,1.0,-10324691.8878928,0.34259276383802867,0.573887633679124,1e-08
joint,183,200284.9920393571,3924494.9386975258,1.0,-197796.30205313893,0.28565557895907906,0.5396849296218377,1e-08
joint,184,1914014.2656841665,47134774.14768811,1.0,-1911524.9599856616,0.31776122860050543,0.5351839586660538,1e-08
joint,185,8250040.425628238,215470287.25800204,1.0,-8247551.3247049935,0.3354086040150824,0.5053836232653285,1e-08
joint,186,2046329.4056588951,49228181.39912971,1.0,-2043839.0129614898,0.3180771274196982,0.522572134123467,1e-08
joint,187,15425400.032729223,402442479.8902572,1.0,-15422910.245768404,0.34408371116664355,0.5112980983012753,1e-08
joint,188,21213.604875650264,300040.70430859085,1.0,-18727.342197356375,0.25560333562134163,0.660949767470728,1e-08
joint,189,82023.78058959375,1460195.5088956072,1.0,-79532.3847199627,0.2730179416355947,0.5558880319413892,1e-08
joint,190,4144920.696249386,106392788.21413654,1.0,-4142429.683523591,0.33156153679462547,0.597200720502307,1e-08
joint,191,592271.9645792855,13455875.334891832,1.0,-589778.9652018911,0.30186581984576116,0.5641108792476763,1e-08
joint,192,3276122.431667948,82598275.96087147,1.0,-3273629.737537169,0.32782848201753195,0.5779428920990115,1e-08
joint,193,407712.4097853001,8829814.141208263,1.0,-405218.0893094274,0.2949341871703483,0.5242154706477146,1e-08
joint,194,360601.9410447758,7657111.864434111,1.0,-358107.20307270915,0.2962201614997082,0.5541827114068347,1e-08
joint,195,674544.9128732996,15218938.322387645,1.0,-672049.5546621567,0.303120450831957,0.5399418579870064,1e-08
joint,196,611662.1748022714,13523511.151849829,1.0,-609166.2643310024,0.3033970243531574,0.5325567654037141,1e-08
joint,197,4644442.778738694,118649806.90096691,1.0,-4641947.375428984,0.33160812196154915,0.5662387325384945,1e-08
joint,198,194118.840703297,3927029.5124753984,1.0,-191622.6310229461,0.2888487832236693,0.5913238871181788,1e-08
joint,199,293204.6032430426,6075554.287512981,1.0,-290709.1755722609,0.2874042203121629,0.44904837668184666,1e-08
joint,200,363494.26716234355,7749523.553055255,1.0,-360996.2378831379,0.2921259543011835,0.5152717840021787,1e-08
joint,201,1382912.3407992893,33320628.509551577,1.0,-1380414.032674977,0.31471301273332875,0.5588185396188144,1e-08
joint,202,455401.15720620676,9924850.826248648,1.0,-452901.9972134173,0.2979453809377401,0.5162978082998316,1e-08
joint,203,228935.48741111706,4814621.718334009,1.0,-226437.67033442488,0.2942568949162953,0.6338605997668975,1e-08
joint,204,1072598.1567427854,25065050.8362025,1.0,-1070098.0440144034,0.3123859969129101,0.5608901897174571,1e-08
joint,205,3026483.1282354454,74112677.85940568,1.0,-3023982.9672228973,0.32342853326161713,0.4987608785784284,1e-08
joint,206,131836.26157310285,2494691.21322772,1.0,-129334.84339184538,0.28207190000280263,0.5581176978104866,1e-08
joint,207,813363.6770746834,18503106.58049463,1.0,-810861.695316829,0.3038507563010636,0.5010036373411076,1e-08
joint,208,989627.7844605019,23002171.16550931,1.0,-987125.6580949238,0.30645328121773424,0.4831591555968048,1e-08
joint,209,65395.77104223814,1129425.010332689,1.0,-62892.94768870207,0.27097633771581076,0.5700121603219073,1e-08
joint,210,189207.084851189,3730382.188995465,1.0,-186704.11400322063,0.2810994740030361,0.474613559188481,1e-08
joint,211,725522.660115241,16441591.122317806,1.0,-723017.9841240781,0.30681178955775024,0.5575712328698289,1e-08
joint,212,115929.17253858429,2146011.974405021,1.0,-113424.03721471461,0.27839051876876164,0.5200440535308624,1e-08
joint,213,3154379.3524886053,80335811.62298593,1.0,-3151874.3693393404,0.32732818653451695,0.5753653302952721,1e-08
joint,214,161696.93939963597,3130852.9031980773,1.0,-159190.50383155572,0.2805642211256559,0.5200272817753636,1e-08
joint,215,59954.58975302352,1026894.464242191,1.0,-57447.88983243225,0.26998776656900436,0.554015360580038,1e-08
joint,216,70060.91331013545,1241122.0792123456,1.0,-67553.94843088524,0.2744415465805233,0.5914098495321798,1e-08
joint,217,227708.52253086318,4681847.242479399,1.0,-225200.11778322767,0.28905225410001817,0.5281876439620855,1e-08
joint,218,1963928.3763557451,48018601.302797146,1.0,-1961421.7985680378,0.32539584635355945,0.6326594804350718,1e-08
joint,219,64471.2241138805,1105756.4319764131,1.0,-61962.020235427844,0.2714347798972046,0.5503339945156878,1e-08
joint,220,76467.1957655422,1380634.489563257,1.0,-73958.53956984777,0.2778777129304981,0.6252350463701529,1e-08
joint,221,1182130.2851022612,28369572.89107696,1.0,-1179619.6997261192,0.3120313895199552,0.5399367717984238,1e-08
joint,222,150300.57127011716,2931505.9454016434,1.0,-147789.47679547267,0.2862308609563505,0.5845368739883932,1e-08
joint,223,354742.1680709442,7562785.843100218,1.0,-352230.2812231566,0.29387698195353923,0.5138954498744861,1e-08
joint,224,2231251.24894965,55901318.622878395,1.0,-2228739.237883908,0.32021549745724803,0.5650298198352446,1e-08
joint,225,285709.634826754,6000345.727873842,1.0,-283196.5284118325,0.2942869734213912,0.5762709293990552,1e-08
joint,226,321322.2214441631,7141774.867106189,1.0,-318809.9884683307,0.2980188520877235,0.6359557771868476,1e-08
joint,227,385562.680862291,8127674.832776064,1.0,-383048.5419369617,0.29558241859108086,0.5090953810595438,1e-08
