Scenario,Replication,Factor,RMSE,MAE,CRPS,Coverage,AIW
4,2001,0.95,0.14648234751308165,0.10609708857126908,0.07332640668883578,1.0,0.6768319855012753
4,2001,1.0,0.14648234751308165,0.10609708857126914,0.07371848865308736,1.0,0.7124547215802897
4,2001,1.1,0.1464823475130813,0.10609708857126934,0.07479142710530437,1.0,0.7837001937383188
4,2001,1.2,0.14648234751308156,0.10609708857126893,0.07623039710938768,1.0,0.8549456658963477
4,2001,1.35,0.14648234751308103,0.10609708857126851,0.07896334202563103,1.0,0.9618138741333913
4,2001,1.5,0.14648234751308142,0.10609708857126848,0.08223933991189102,1.0,1.0686820823704348
4,2002,0.75,0.1431269630041891,0.11698842502801621,0.09004282977612546,0.75,0.4908947024358997
4,2002,0.85,0.1431269630041888,0.11698842502801578,0.08983721534753017,0.75,0.5563473294273529
4,2002,0.95,0.14312696300418912,0.11698842502801607,0.09003916432334641,0.8125,0.6217999564188061
4,2002,1.0,0.14312696300418912,0.11698842502801605,0.09026326889230446,0.875,0.6545262699145329
4,2002,1.1,0.14312696300418928,0.11698842502801618,0.09096651204783765,0.875,0.7199788969059862
4,2002,1.2,0.1431269630041888,0.11698842502801568,0.09195206761440203,0.875,0.7854315238974394
4,2002,1.35,0.1431269630041889,0.11698842502801593,0.09385953244503911,0.875,0.8836104643846194
4,2002,1.5,0.1431269630041889,0.11698842502801582,0.09621790309319972,1.0,0.9817894048717992
4,2003,0.75,0.5392191676308427,0.38406105164248483,0.3099822936305153,0.625,0.997428721088792
4,2003,0.85,0.5392191676308425,0.38406105164248483,0.3052578210750112,0.6875,1.130419217233964
4,2003,0.95,0.5392191676308427,0.3840610516424845,0.30113683170121797,0.75,1.2634097133791362
4,2003,1.0,0.5392191676308427,0.3840610516424848,0.29929506708700776,0.75,1.3299049614517227
4,2003,1.1,0.5392191676308427,0.3840610516424845,0.2961136704424725,0.75,1.4628954575968949
4,2003,1.2,0.5392191676308425,0.3840610516424847,0.29345810205842393,0.75,1.5958859537420669
4,2003,1.35,0.5392191676308423,0.38406105164248455,0.2904973830128469,0.8125,1.7953716979598255
4,2003,1.5,0.5392191676308427,0.3840610516424846,0.28884163874940827,0.875,1.994857442177584
4,2004,0.75,0.4933211014243329,0.40722080331788024,0.30261570272366567,0.75,1.2181243630120717
4,2004,0.85,0.4933211014243333,0.40722080331788013,0.2986949171241389,0.75,1.3805409447470147
4,2004,0.95,0.49332110142433333,0.4072208033178806,0.296349577950286,0.8125,1.5429575264819575
4,2004,1.0,0.4933211014243326,0.40722080331788,0.2957022377687329,0.875,1.6241658173494287
4,2004,1.1,0.49332110142433333,0.4072208033178802,0.2950083325454526,0.875,1.7865823990843719
4,2004,1.2,0.4933211014243332,0.4072208033178804,0.2951543219261359,0.875,1.9489989808193144
4,2004,1.35,0.4933211014243329,0.40722080331787985,0.29651890329765923,0.875,2.192623853421729
4,2004,1.5,0.49332110142433294,0.40722080331788046,0.2993907489898865,0.875,2.436248726024143
4,2005,0.75,0.2519352863321667,0.2050608402295904,0.15469898287470524,0.5625,0.5315679403588123
4,2005,0.85,0.25193528633216694,0.2050608402295907,0.15164466489419298,0.6875,0.6024436657399872
